[16:30:13] 📍 Loaded 754 district venues
[16:30:13] 🚀 DISTRICT SCRAPER STARTED
[16:30:14] ⚠ 1088822 → NO DEBUG
[16:30:14] ⚠ 1039848 → NO DEBUG
[16:30:14] ⚠ 9920 → NO DEBUG
[16:30:14] ⚠ 7841 → NO DEBUG
[16:30:14] ⚠ 1041449 → NO DEBUG
[16:30:14] ⚠ 7301 → NO DEBUG
[16:30:14] ⚠ 14120 → NO DEBUG
[16:30:14] ⚠ 1056572 → NO DEBUG
[16:30:14] ⚠ 4380 → NO DEBUG
[16:30:14] ⚠ 1022965 → NO DEBUG
[16:30:14] ⚠ 7813 → NO DEBUG
[16:30:14] ⚠ 4189 → NO DEBUG
[16:30:15] ⚠ 55733 → NO DEBUG
[16:30:15] ⚠ 27373 → NO DEBUG
[16:30:15] ⚠ 1016089 → NO DEBUG
[16:30:15] ⚠ 1018799 → NO DEBUG
[16:30:15] ⚠ 28968 → NO DEBUG
[16:30:15] ⚠ 1041394 → NO DEBUG
[16:30:15] ⚠ 60083 → NO DEBUG
[16:30:15] ⚠ 1080239 → NO DEBUG
[16:30:15] ⚠ 1037518 → NO DEBUG
[16:30:15] ⚠ 1037525 → NO DEBUG
[16:30:15] ⚠ 1075746 → NO DEBUG
[16:30:15] ⚠ 24521 → NO DEBUG
[16:30:15] ⚠ 4171 → NO DEBUG
[16:30:15] ⚠ 1030438 → NO DEBUG
[16:30:15] ⚠ 1016053 → NO DEBUG
[16:30:15] ⚠ 1008418 → NO DEBUG
[16:30:15] ⚠ 1041728 → NO DEBUG
[16:30:15] ⚠ 9487 → NO DEBUG
[16:30:15] ⚠ 1041743 → NO DEBUG
[16:30:15] ⚠ 17069 → NO DEBUG
[16:30:15] ⚠ 4178 → NO DEBUG
[16:30:15] ⚠ 1018652 → NO DEBUG
[16:30:15] ⚠ 25804 → NO DEBUG
[16:30:15] ⚠ 1053400 → NO DEBUG
[16:30:15] ⚠ 10940 → NO DEBUG
[16:30:15] ⚠ 1037961 → NO DEBUG
[16:30:15] ⚠ 1008456 → NO DEBUG
[16:30:15] ⚠ 60085 → NO DEBUG
[16:30:15] ⚠ 1050791 → NO DEBUG
[16:30:15] ⚠ 55272 → NO DEBUG
[16:30:15] ⚠ 1030504 → NO DEBUG
[16:30:15] ⚠ 1053618 → NO DEBUG
[16:30:15] ⚠ 1049666 → NO DEBUG
[16:30:15] ⚠ 1011174 → NO DEBUG
[16:30:15] ⚠ 1016088 → NO DEBUG
[16:30:15] ⚠ 1036962 → NO DEBUG
[16:30:15] ⚠ 5059 → NO DEBUG
[16:30:15] ⚠ 4248 → NO DEBUG
[16:30:15] ⚠ 1042635 → NO DEBUG
[16:30:15] ⚠ 1042640 → NO DEBUG
[16:30:15] ⚠ 1007054 → NO DEBUG
[16:30:15] ⚠ 3960 → NO DEBUG
[16:30:15] ⚠ 4891 → NO DEBUG
[16:30:15] ⚠ 28925 → NO DEBUG
[16:30:15] ⚠ 3981 → NO DEBUG
